407713959337132032	169403434	I know better! =)
407714134348664832	169403434	No siempre las cosas son como debieran ser, no siempre se puede tener la razon..
407714273427611648	169403434	Tu eres como un sueño y yo tan solo soy un pobre soñador...
407714356303261696	169403434	Soñando asi es como kiero vivir
407731232374415362	169403434	Ay...cuando podre encontrar a alguien k si valga la pena? Nunca!! Lol Ok bye.
407731319603355650	169403434	Goodnight!! ^.^
407755724559630336	169403434	Ohh god :o
407759772981551104	169403434	Siento k me muero!!!! :o
407760215375749121	169403434	This has never happened to me
407762984618819585	169403434	@crystal_jaimes No!! :/
407763909081182208	169403434	@crystal_jaimes no me lebante ahorita cuz I felt como si me kemara por dentro! :o Then I started getting all red, I think im allergic a algo
407860918756704256	169403434	We live in the same building but got different views!!!!!
407871952875819008	169403434	Fucking traffic!!!!!!!!!!!!! Uggh
407936038053482496	169403434	Dealing with numbers and math the whole day is not easy my respects to the accountants!!!  #realTalk
407942012327821313	169403434	This chipotle ck wrap is delicious! ;)
407946052491165696	169403434	Prefiero ser el perdedor k te lo ah dado todo!
407946238131052544	169403434	Yo prefiero dejarte partir k ser tu prisionero
407956794653155328	169403434	Quedate conmigo k sin ti mi alma se muere...
408009863755612160	169403434	"@Drrrake_YMCMB: Judge nothing, you will be happy.  Forgive everything, you will be happier.  Love everything, you will be happiest."
408023523798446081	169403434	Porwue ya me canse y aki ya no cabemos dos, hasta aqui te fui fiel.
408028612986552320	169403434	Enchilada potosinas! YuMmmmm :) ♥
408032877234749440	169403434	"@BettyyBoo_: I need to do homework, but I don't even  want to do it >.<" I feel ya
408033173553954816	169403434	Fml no kiero haser mi hw! -__-
408080473600958464	169403434	My brain is completely drained! :/  Doing work in the computer the whole day...no wonder im all blind and shit!
408081910414311424	169403434	@58nando lmao shut up loser!! Nomas un pokito! :D
408085394446495744	169403434	No juegues con fuego k te puedes kemar?
408085762702192641	169403434	No ay k buscar, solito llegara :)
408089211082772481	169403434	@58nando you are correct! :)
408090268483592194	169403434	@58nando eventually yeah! I hope lmao
408091627513597953	169403434	@58nando haha eso si..lol
408225366189150209	169403434	"@ltsKidlnk: I really hope 2014 will be a better year than 2013 was.. 🙏"
408288946309701632	169403434	Second person that tells me I look exactly like 'La rodriguez' :)  #winning
408306752996642816	169403434	These upcoming two weeks are gna be so dreadful! -__-  I just know it...
408310314275307520	169403434	Finals week is never fun!
408348930053664769	169403434	Yo nunca supe lo k te paso, pasaron muchos dias sin una explicasion...
408349570200911875	169403434	Yo no se cuanto te ame? Encambio se k nunca nunca olvidare como te marchaste sin desirme nada!!!!
408382096076316672	169403434	Im so damn irritated by this fking traffic!!!! >.<  Shoot me please!!!!!!!!
408410208885420032	169403434	"@KiirkoBangz: R.I.P to the fuck I almost gave."
408411773474050050	169403434	I wish I could go out this weekend but I cant!!! Have to study super hard for my finals. #Priorities#school#work
408414507036188672	169403434	Ni ablar....
408458163722002432	169403434	@MRodOfficial apparently I look like Michelle? Idk
408458949961072640	169403434	Tanto por haser..
408459034228817921	169403434	My days need more hours!  #Seriously
408459280245735424	169403434	Nigga got me fucked up!! Tf do I look like.
